
Class,0,
,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,0,0,0,0,0,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,,,,,,
,,,,,,0,-1,0,0,0,0,0,0,0,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,
,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,0,4,21,12,3,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,3,5,12,,,,,,,,,,,

Nz_Order,11,

Class,1,
,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,0,-2,0,,,,,,,,,
,,,,,,,,0,0,0,0,-4,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,,,,,,
,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,1,0,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,,,
,,0,0,0,0,0,0,-2,3,3,4,4,0,0,0,0,0,0,,
,0,0,0,0,0,0,0,0,0,13,7,5,4,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,6,14,,,,,,,,,,,

Nz_Order,17,

Class,2,
,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,0,0,0,0,0,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,,,,,,
,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
,,,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,
,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,
,0,0,0,0,0,2,0,0,2,22,7,2,0,0,0,2,0,0,0,
0,0,0,1,0,2,2,0,4,10,,,,,,,,,,,

Nz_Order,16,

Class,3,
,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,0,0,0,0,0,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,,,,,,,
,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,0,-1,0,0,0,0,0,0,0,0,0,,,,,
,,,,0,0,0,0,0,4,0,2,0,0,0,0,0,,,,
,,,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,,,
