0,0,0,0,76,76,76,76,76,76,76,76,76,76,76,
0,0,0,0,25,25,25,25,25,25,62,153,153,153,153,
0,0,0,5,120,120,249,249,249,249,249,249,249,249,249,
0,0,0,0,0,0,47,47,47,47,47,47,47,47,47,
0,0,0,0,0,0,57,57,57,57,57,57,57,57,167,
0,0,0,9,9,14,14,41,41,41,41,41,41,41,41,
0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,
0,0,0,0,0,0,34,34,34,51,51,51,51,306,306,
0,0,0,0,10,10,13,134,240,240,513,513,513,513,513,
0,0,0,0,0,0,39,39,39,39,95,95,95,95,277,
0,0,0,0,0,0,13,45,45,90,90,90,90,292,292,
0,0,0,0,0,0,0,15,15,96,153,153,153,153,153,
0,0,0,0,0,0,0,0,30,30,81,81,81,81,153,
7,7,7,7,7,7,7,7,39,39,193,193,193,193,193,
0,0,0,0,19,19,19,19,19,19,19,93,273,273,273,
0,0,0,0,15,15,28,64,64,64,64,64,64,64,184,
0,6,6,6,6,6,6,6,30,30,76,76,250,250,250,
0,0,0,0,0,0,12,12,31,31,61,61,61,61,407,
0,0,0,14,14,14,14,14,26,54,76,249,249,249,249,
0,0,0,0,10,10,30,57,57,57,100,100,100,100,100,
0,0,0,6,12,12,12,20,96,96,96,96,96,96,317,
0,0,0,0,15,15,22,22,22,22,72,205,205,205,205,
0,0,0,0,0,0,0,0,31,31,88,88,180,180,180,
0,0,4,4,4,18,18,18,18,18,63,176,176,176,176,
0,0,0,9,9,9,9,9,32,32,113,113,226,226,226,

1,0,15,9,7,4,9,8,3,9,3,8,7,10,1,3,
